customer_id,customer_name,email,registration_date,customer_type
C0001,Zachary Burke,edward54@example.net,2026-01-08,VIP
C0002,Samuel Ellis,alyssa99@example.org,2025-01-16,VIP
C0003,Terrence Hahn,rickybrooks@example.org,2026-04-18,VIP
C0004,Diana Duran,victorcampbell@example.com,2025-12-15,REGULAR
C0005,Sean Brooks,kevinbryan@example.org,2026-02-19,PREMIUM
C0006,Sandra Gibson,jasmine99@example.net,2025-07-27,PREMIUM
C0007,Amber Fletcher,patrick21@example.org,2026-03-15,VIP
C0008,Lisa Mejia,bfranklin@example.org,2025-09-05,REGULAR
C0009,Colleen Anderson,hayeschristina@example.org,2024-12-08,VIP
C0010,Melissa Horton,victoria67@example.com,2025-07-16,REGULAR
C0011,Dennis Snyder,kevingarcia@example.net,2025-12-06,REGULAR
C0012,Erin Davis,crystalrichardson@example.net,2025-09-05,VIP
C0013,Corey Williams,gordonsylvia@example.com,2026-06-04,PREMIUM
C0014,Karen Butler,robbinsvictoria@example.net,2024-08-08,VIP
C0015,Michael Harris Jr.,gchapman@example.com,2026-05-15,PREMIUM
C0016,Kayla Caldwell,muellercharles@example.org,2024-10-25,PREMIUM
C0017,Randy Ferguson,charlesnolan@example.net,2026-05-18,VIP
C0018,Peter Smith,richardsontiffany@example.net,2024-12-03,VIP
C0019,Melinda Walsh,stephenmitchell@example.org,2026-03-15,REGULAR
C0020,Yolanda Mayo,riddledavid@example.org,2025-01-02,VIP
C0021,Amy Gill,swood@example.net,2025-10-03,PREMIUM
C0022,Chris Freeman,amartin@example.net,2025-01-09,PREMIUM
C0023,Rachel Hardy,reynoldsmark@example.org,2025-04-27,REGULAR
C0024,Ronald Richard,lawrenceluke@example.net,2024-08-16,REGULAR
C0025,Kimberly Chen,matthew41@example.org,2026-01-10,PREMIUM
C0026,Heather Lynch,morgangabriela@example.com,2025-02-12,VIP
C0027,Brandon Fields,katelyngallagher@example.org,2025-07-02,VIP
C0028,Paige Smith,vchristensen@example.org,2024-07-10,PREMIUM
C0029,Mark Hill,lynndaniel@example.net,2026-07-09,REGULAR
C0030,Mary Poole,nicole31@example.net,2024-08-28,REGULAR
C0031,Jason Kirk,gonzalezamy@example.org,2025-05-09,VIP
C0032,Gabriel Ali,hannah21@example.net,2025-04-03,VIP
C0033,Jennifer Riley,carlpotter@example.org,2025-07-15,PREMIUM
C0034,Michael Allen,cassandra05@example.com,2026-03-22,REGULAR
C0035,Travis Bailey,jmosesexample.org,2025-04-07,REGULAR
C0036,Christopher Gonzalez,olee@example.com,2025-11-16,PREMIUM
C0037,Kenneth Sampson,qanderson@example.org,2024-08-23,VIP
